Arquivos importados,Tempo da importação no MySQL,Tempo da importação MongoDB
25000,300.311462,40.200347
50000,166.065319,35.438449
75000,127.820295,30.697563
100000,292.592912,32.560707
125000,193.864341,31.894747
150000,175.579902,44.060176
175000,183.710985,44.565265
200000,218.453374,42.560525
225000,454.485709,48.825421
250000,250.49755,46.150559
275000,190.305153,45.213681
300000,214.757366,42.958421
325000,200.231607,42.842336
350000,242.641429,43.880425
375000,408.997653,46.857505
400000,217.047974,45.047857
425000,249.284058,44.979605
450000,183.65416,42.836903
475000,144.749818,39.362526
500000,429.93151,43.892334
525000,636.831812,46.403394
550000,478.2963,46.175611
575000,566.747974,44.093341
600000,408.061647,43.714815
625000,371.617191,43.547613
650000,271.210909,45.117267
675000,251.168369,44.634705
700000,318.646024,46.75991
725000,381.387207,47.582844
750000,329.25094,46.564663
775000,337.367429,48.30253
800000,272.41975,46.584266
825000,292.648493,46.517777
850000,299.960067,46.456539
875000,235.519032,45.206522
900000,217.393017,44.230465
925000,308.767166,45.446476
950000,466.427792,49.594936
975000,431.611711,48.667672
1000000,395.119365,48.668058
1025000,603.58719,48.978045
1050000,428.769465,46.759433
1075000,511.289923,52.304253
1100000,709.213878,51.601772
1125000,810.760526,50.378279
1150000,982.045016,52.043894
1175000,874.240759,57.844907
1200000,893.467712,50.235594
1225000,975.668924,50.844264
1250000,971.67976,46.977898
1275000,854.819512,48.591409
1300000,970.221665,56.999622
1325000,1111.636566,51.418977
1350000,1006.90348,48.894057
1375000,947.690413,49.702162
1400000,1268.638045,51.63265
1425000,1167.535817,56.088178
1450000,802.260132,54.196832
1475000,1481.866258,51.837204
