Arquivos importados,Tempo da importação no MySQL,Tempo da importação MongoDB
1000,4.5496380000000025,2.754833000000003
2000,5.066192000000002,1.599308
3000,5.264866,1.5355520000000014
4000,4.846410000000001,1.6466120000000006
5000,61.30369200000001,2.2998099999999964
6000,11.509096000000005,1.6035079999999975
7000,8.574185999999992,1.3304860000000007
8000,4.936321000000002,1.1911119999999993
9000,7.044918,1.2963500000000026
10000,6.612345999999996,1.476345999999999
11000,31.796850999999997,1.5019559999999992
12000,30.082335999999998,1.700556
13000,7.561875,1.285518000000001
14000,18.907467000000004,1.5333790000000014
15000,12.720564000000024,1.804391999999999
16000,10.337345999999993,1.6684010000000018
17000,8.668178,1.7281070000000003
18000,7.795752999999996,1.5117970000000003
19000,5.376678999999999,1.5290230000000002
20000,6.756484000000016,1.4692160000000007
21000,4.629915999999997,1.4491930000000006
22000,4.660661,1.3978349999999995
23000,11.012706999999995,1.6094350000000008
24000,12.644419000000006,1.5777259999999995
25000,7.652560999999998,1.6998960000000018
26000,13.923117000000007,1.731547000000002
27000,7.874108999999994,1.7180749999999998
28000,9.497945000000007,1.5648539999999966
29000,6.801359999999992,1.499612999999999
30000,3.5981929999999953,1.4629889999999988
31000,4.603064000000005,1.4799399999999983
32000,4.973682999999993,1.6590570000000002
33000,7.196392000000002,1.4751740000000029
34000,6.090306000000006,1.5182890000000022
35000,13.213565000000022,1.5595890000000008
36000,11.520243000000004,1.9904509999999997
37000,5.587310999999997,1.591369999999999
38000,5.730763999999996,1.5285430000000004
39000,5.663873000000002,1.4579819999999994
40000,3.286186000000001,1.1990379999999998
41000,3.6803900000000023,1.090736
42000,3.127643999999998,1.133782
43000,2.757779000000003,1.1102200000000004
44000,4.604426000000015,1.3361499999999977
45000,8.382815999999995,1.2242059999999986
46000,6.587483,1.2715679999999998
47000,14.518285999999998,1.2508839999999994
48000,4.723220000000004,1.2461170000000008
49000,3.755630000000002,1.2097320000000005
50000,4.3675339999999965,1.1285429999999994
51000,3.6379839999999968,1.22904
52000,3.721845000000002,1.120158
53000,5.204857000000002,1.316694
